iter	Passed	Remaining
0	1	128
1	2	116
2	3	108
3	4	104
4	5	100
5	6	104
6	8	109
7	9	112
8	11	112
9	12	115
10	14	115
11	15	115
12	17	114
13	18	115
14	20	115
15	21	113
16	23	112
17	24	112
18	27	117
19	28	115
20	30	114
21	32	113
22	33	111
23	34	109
24	36	108
25	37	107
26	39	105
27	40	104
28	41	102
29	43	101
30	44	99
31	46	98
32	47	96
33	48	94
34	50	93
35	52	92
36	53	91
37	55	90
38	57	89
39	58	88
40	60	87
41	60	84
42	62	82
43	63	81
44	64	79
45	66	77
46	67	75
47	68	74
48	69	72
49	70	70
50	71	68
51	72	67
52	73	65
53	74	63
54	75	61
55	76	60
56	77	58
57	78	56
58	80	55
59	81	54
60	82	52
61	83	51
62	84	49
63	85	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	93	38
71	95	37
72	97	35
73	98	34
74	98	32
75	100	31
76	100	30
77	102	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	109	19
85	110	17
86	110	16
87	112	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	124	2
98	125	1
99	126	0
