iter	Passed	Remaining
0	1	1514
1	2	1467
2	4	1419
3	5	1332
4	6	1295
5	8	1387
6	9	1338
7	10	1310
8	11	1293
9	12	1281
10	14	1270
11	15	1237
12	16	1233
13	17	1228
14	18	1213
15	20	1247
16	21	1231
17	22	1223
18	23	1212
19	24	1201
20	25	1196
21	27	1200
22	28	1197
23	30	1243
24	31	1232
25	32	1230
26	34	1232
27	35	1227
28	36	1219
29	37	1211
30	38	1208
31	39	1203
32	40	1197
33	41	1192
34	43	1188
35	44	1187
36	45	1181
37	46	1182
38	47	1178
39	48	1172
40	49	1168
41	51	1163
42	52	1162
43	53	1164
44	54	1158
45	55	1157
46	58	1178
47	59	1176
48	60	1174
49	61	1171
50	62	1165
51	63	1162
52	64	1159
53	66	1159
54	67	1155
55	68	1150
56	69	1147
57	70	1144
58	71	1143
59	72	1140
60	73	1135
61	74	1133
62	75	1128
63	76	1123
64	77	1120
65	79	1118
66	80	1119
67	81	1116
68	82	1112
69	83	1109
70	84	1110
71	86	1111
72	87	1110
73	88	1109
74	89	1107
75	90	1102
76	92	1111
77	93	1110
78	94	1107
79	95	1102
80	96	1098
81	97	1095
82	99	1094
83	100	1092
84	101	1089
85	102	1085
86	103	1089
87	105	1090
88	106	1093
89	107	1089
90	108	1083
91	109	1079
92	110	1075
93	111	1074
94	112	1071
95	113	1070
96	114	1067
97	115	1064
98	116	1061
99	117	1059
100	119	1066
101	120	1064
102	121	1062
103	122	1058
104	123	1051
105	124	1050
106	125	1048
107	126	1045
108	127	1043
109	128	1040
110	129	1037
111	130	1034
112	131	1035
113	132	1033
114	133	1030
115	134	1028
116	135	1025
117	137	1028
118	139	1032
119	140	1030
120	141	1028
121	142	1026
122	143	1024
123	144	1023
124	145	1021
125	147	1020
126	148	1019
127	149	1018
128	150	1016
129	151	1017
130	153	1015
131	154	1012
132	154	1009
133	155	1006
134	156	1004
135	157	1003
136	159	1001
137	159	999
138	160	996
139	161	994
140	162	991
141	163	990
142	165	989
143	166	986
144	166	984
145	167	982
146	168	979
147	169	977
148	170	975
149	172	974
150	173	973
151	174	970
152	174	968
153	175	965
154	177	965
155	178	966
156	179	964
157	180	963
158	181	962
159	183	960
160	184	960
161	185	959
162	186	958
163	187	957
164	188	955
165	190	954
166	191	953
167	192	952
168	193	952
169	194	950
170	195	950
171	197	948
172	198	947
173	199	945
174	200	943
175	201	942
176	202	940
177	203	939
178	204	937
179	205	936
180	206	934
181	207	933
182	208	931
183	209	930
184	210	928
185	211	926
186	212	925
187	213	923
188	214	922
189	216	921
190	217	920
191	218	919
192	219	918
193	220	917
194	221	915
195	222	914
196	223	912
197	224	910
198	225	908
199	226	906
200	227	905
201	228	903
202	229	902
203	231	901
204	232	900
205	233	899
206	234	897
207	235	895
208	236	894
209	237	893
210	238	892
